customer_id,customer_name,email,country,registration_date,product_id,product_name,category,stock,order_id,order_date,quantity,price,review_id,rating,review_date
1051,Connor Cobb,mary09@johnson.com,Gibraltar,2020-05-17,2,Relationship Furniture,Books,302,3467,2024-08-04,6,1240.18,,,
2848,Douglas Mitchell,wpeterson@holland-jennings.com,Kenya,2023-03-24,2,Relationship Furniture,Books,302,4059,2024-10-20,2,765.18,,,
1245,William Hall,danieljones@bishop-shaw.com,Namibia,2024-02-08,2,Relationship Furniture,Books,302,4124,2024-02-21,4,1276.62,,,
478,Debra Maxwell,daviscory@hansen.com,Turkey,2021-01-02,2,Relationship Furniture,Books,302,4163,2024-03-29,10,458.25,,,
2795,Ashley Moses,cobbcharles@hotmail.com,Cape Verde,2023-02-07,2,Relationship Furniture,Books,302,4226,2024-01-07,4,698.25,,,
38,Alice Williams,nedwards@yahoo.com,Saint Vincent and the Grenadines,2024-04-28,2,Relationship Furniture,Books,302,4387,2024-07-26,4,1342.08,,,
1963,Andrew Hill,alicia14@morton.com,Greece,2022-02-01,2,Relationship Furniture,Books,302,4837,2024-05-12,10,157.38,,,
2732,Jimmy Cole,patrickmedina@perez-smith.com,Slovenia,2020-03-25,2,Relationship Furniture,Books,302,5613,2024-05-03,2,1101.59,,,
1809,Preston Kennedy,ramirezmelissa@erickson-walker.com,Bangladesh,2021-12-16,2,Relationship Furniture,Books,302,5810,2024-06-06,5,689.32,,,
1633,Jennifer Cooper,maldonadostephanie@hotmail.com,Guyana,2021-10-23,2,Relationship Furniture,Books,302,7548,2024-07-18,7,720.68,,,
983,Ashley Adams,joshua22@mercer.net,Congo,2020-03-30,2,Relationship Furniture,Books,302,7659,2024-10-03,8,1362.32,,,
125,Matthew Baird,pacebrittany@hotmail.com,Turkey,2022-08-06,2,Relationship Furniture,Books,302,8420,2024-03-19,5,195.99,,,
1556,Kelly Harrison,tperez@johnson.info,Timor-Leste,2024-09-11,2,Relationship Furniture,Books,302,8714,2024-02-17,6,936.42,,,
808,Kimberly Castro,michaeldaniels@diaz-scott.info,Moldova,2020-01-11,2,Relationship Furniture,Books,302,9220,2024-05-31,8,1128.05,,,
1546,Tamara Patterson,kennethshaffer@gmail.com,Oman,2020-12-21,2,Relationship Furniture,Books,302,9388,2024-05-21,1,190.58,,,
2705,William Woods,dennisandrew@gmail.com,Equatorial Guinea,2024-07-09,3,Who Accessories,Furniture,403,873,2024-10-21,4,1431.4,,,
1566,Anthony Mendez,arianastuart@gmail.com,Hong Kong,2021-03-04,3,Who Accessories,Furniture,403,1133,2024-03-23,8,1320.73,,,
1552,Michael Miller,francisco40@martinez-miller.com,Denmark,2021-01-11,3,Who Accessories,Furniture,403,1260,2024-04-30,3,594.98,,,
2583,Michael Browning,lyonsjeffery@roman.com,Somalia,2022-10-13,3,Who Accessories,Furniture,403,1477,2024-04-17,2,1332.73,,,
1723,Mary Cooper,ljarvis@johnson.com,Bangladesh,2020-08-14,3,Who Accessories,Furniture,403,2686,2024-08-10,9,781.72,,,
2295,Rebecca Morris,davidflynn@smith.com,Vietnam,2024-06-12,3,Who Accessories,Furniture,403,2971,2024-08-03,1,495.08,,,
939,Claudia Joseph,heathercurtis@hotmail.com,Poland,2024-02-07,3,Who Accessories,Furniture,403,3524,2024-05-02,9,128.24,,,
2863,Kristina Herring,jacquelinesmith@kirby.com,Australia,2023-11-28,3,Who Accessories,Furniture,403,3858,2024-06-15,1,167.56,,,
464,Jacob Stanley,neil03@yahoo.com,Heard Island and McDonald Islands,2021-12-03,3,Who Accessories,Furniture,403,4770,2024-06-26,9,72.03,,,
1635,Veronica Hughes,rsanchez@hotmail.com,Uganda,2023-06-02,3,Who Accessories,Furniture,403,4915,2024-02-16,8,452.08,,,
1495,Lindsey White,nicholasfoster@anderson.com,Morocco,2024-01-21,3,Who Accessories,Furniture,403,5855,2024-01-25,1,1170.4,,,
1804,Allen Mullins,cevans@martinez-brown.com,Thailand,2021-10-01,3,Who Accessories,Furniture,403,6026,2024-03-09,2,333.99,,,
794,Austin Christian,williamsjoseph@payne.com,Luxembourg,2020-11-23,3,Who Accessories,Furniture,403,7757,2024-04-18,10,1454.86,,,
2928,Michelle Smith,ymalone@yahoo.com,Peru,2024-10-12,3,Who Accessories,Furniture,403,8168,2024-05-25,2,679.65,,,
1790,Amanda Torres,bgreen@smith-bailey.net,South Georgia and the South Sandwich Islands,2021-01-28,3,Who Accessories,Furniture,403,8362,2024-01-01,10,205.57,,,
1656,Jonathan Simpson,kayla01@hotmail.com,Kazakhstan,2020-06-14,3,Who Accessories,Furniture,403,9185,2024-06-26,6,1277.93,,,
554,Daniel Miller,crystalanderson@simpson.com,Greece,2024-02-05,3,Who Accessories,Furniture,403,9195,2024-02-20,1,464.47,,,
2675,Joshua Powell,phillip70@calhoun-patel.org,Estonia,2023-08-02,3,Who Accessories,Furniture,403,9766,2024-05-23,2,1284.4,,,
460,Lisa Farmer,bmelendez@gmail.com,United Kingdom,2020-07-15,4,Process Clothing,Furniture,157,389,2024-06-24,5,1171.02,,,
2098,Kyle Mullins,marthacopeland@dixon-berry.com,Heard Island and McDonald Islands,2022-03-16,4,Process Clothing,Furniture,157,620,2024-07-08,5,588.23,,,
450,Brett Cunningham,hernandezbrittany@king.org,Bolivia,2020-07-08,4,Process Clothing,Furniture,157,1296,2024-04-09,3,142.28,,,
1515,Jessica Massey MD,lyonsmartin@taylor.com,Hungary,2020-04-18,4,Process Clothing,Furniture,157,1835,2024-03-05,7,648.98,,,
1430,Jamie Christensen,brianhill@hubbard-munoz.info,Niue,2022-08-07,4,Process Clothing,Furniture,157,2268,2024-01-30,3,374.73,,,
89,Evelyn Banks,theresa73@gmail.com,Ukraine,2023-09-09,4,Process Clothing,Furniture,157,2355,2024-06-09,4,604.61,,,
1565,Whitney Wagner,terrancerichards@gmail.com,Suriname,2022-11-13,4,Process Clothing,Furniture,157,2449,2024-05-13,1,394.38,,,
1939,Michael Chavez,gibsonmichele@velasquez-luna.org,Norway,2023-06-07,4,Process Clothing,Furniture,157,3021,2024-01-05,9,1110.78,,,
2862,Elizabeth Lewis,adam18@gmail.com,Saint Lucia,2023-08-02,4,Process Clothing,Furniture,157,3342,2024-03-25,8,1048.29,,,
1349,Greg Costa,lewisdavid@brown-perez.net,Kiribati,2023-10-28,4,Process Clothing,Furniture,157,3554,2024-05-08,4,312.87,,,
1952,Heather Ray,mayomonica@robertson-gardner.com,Montenegro,2022-01-21,4,Process Clothing,Furniture,157,3656,2024-05-08,9,666.75,,,
1778,Joseph Hall,kirsten48@hotmail.com,Luxembourg,2021-02-28,4,Process Clothing,Furniture,157,3838,2024-01-16,5,704.36,,,
2019,Brittany Rasmussen,sgonzalez@smith.biz,Niger,2020-08-06,4,Process Clothing,Furniture,157,3886,2024-07-07,9,867.3,,,
458,Patricia Greene PhD,cameron98@yahoo.com,Bahrain,2020-04-24,4,Process Clothing,Furniture,157,3980,2024-01-16,2,1442.47,,,
2455,Dawn Bishop,timothyrowland@gmail.com,Afghanistan,2021-11-02,4,Process Clothing,Furniture,157,4534,2024-04-10,4,894.82,,,
2040,Nathan Kerr,hendricksdana@becker.info,Ethiopia,2022-12-11,4,Process Clothing,Furniture,157,4879,2024-08-06,5,402.64,,,
2504,Alexander Rodriguez,davidhouston@hall-harris.com,Mayotte,2023-02-17,4,Process Clothing,Furniture,157,5078,2024-01-25,1,45.86,,,
286,Joseph Maldonado,pyates@gmail.com,Vanuatu,2023-10-03,4,Process Clothing,Furniture,157,7138,2024-08-07,5,297.52,,,
685,Sarah Parker,alex99@campos-peck.com,Trinidad and Tobago,2021-07-06,4,Process Clothing,Furniture,157,7324,2024-02-21,5,1199.16,,,
2621,Christy Johnston,susan84@ramirez.org,Israel,2020-09-18,4,Process Clothing,Furniture,157,7328,2024-02-26,3,660.72,,,
68,Adam Lane,marciamaddox@davidson-beltran.com,Gabon,2023-07-24,4,Process Clothing,Furniture,157,7852,2024-07-31,9,51.19,,,
1376,Shawn Stein,ryanrodriguez@larson-roman.biz,Swaziland,2024-05-23,4,Process Clothing,Furniture,157,8658,2024-02-16,7,103.79,,,
304,Timothy Ellis,vincentperez@zimmerman.info,Samoa,2023-05-25,4,Process Clothing,Furniture,157,9243,2024-09-25,10,647.24,,,
514,Adrian Massey,alexanderbrown@gmail.com,Saint Barthelemy,2020-03-29,5,Stuff Clothing,Accessories,324,16,2024-01-19,6,1451.78,,,
929,Amanda Woods,markwilson@gmail.com,Spain,2020-03-28,5,Stuff Clothing,Accessories,324,671,2024-09-01,5,398.73,,,
1151,Paul Wilson,denise67@yahoo.com,Palestinian Territory,2022-07-15,5,Stuff Clothing,Accessories,324,1483,2024-06-26,7,629.57,,,
1445,Dylan Brown,stevensjasmine@hotmail.com,Bangladesh,2024-01-22,5,Stuff Clothing,Accessories,324,2217,2024-03-15,6,1272.95,,,
2492,Rachael Gomez,fmckinney@hotmail.com,Liberia,2024-05-07,5,Stuff Clothing,Accessories,324,2429,2024-01-31,6,306.25,,,
1399,Dawn Webb,adean@elliott-schwartz.com,Faroe Islands,2020-06-14,5,Stuff Clothing,Accessories,324,2618,2024-07-28,5,1384.03,,,
561,Ricky Harrison,nicholskimberly@bullock.com,Saint Barthelemy,2024-02-18,5,Stuff Clothing,Accessories,324,2941,2024-04-28,3,1202.91,,,
396,Shawn Stevens,lisaorozco@hotmail.com,Martinique,2024-01-01,5,Stuff Clothing,Accessories,324,3258,2024-05-02,1,573.1,,,
2529,Erica Wilkinson,hlin@gmail.com,Niue,2021-11-05,5,Stuff Clothing,Accessories,324,4781,2024-06-21,4,971.81,,,
662,Diana Stokes,qlucas@yahoo.com,Guadeloupe,2022-01-28,5,Stuff Clothing,Accessories,324,5461,2024-01-03,1,627.48,,,
2617,James Johnson,andrew81@martin.com,Holy See (Vatican City State),2021-09-17,5,Stuff Clothing,Accessories,324,5981,2024-03-15,10,1114.64,,,
810,Benjamin Anderson,tammyrobertson@hotmail.com,Cuba,2022-03-19,5,Stuff Clothing,Accessories,324,6447,2024-02-24,4,539.63,,,
1850,Jeremiah Ray,danale@summers.com,Germany,2023-09-26,5,Stuff Clothing,Accessories,324,6647,2024-10-17,5,1357.02,,,
1729,Mr. Christopher Roberts,tuckerclayton@brewer.com,Yemen,2020-06-05,5,Stuff Clothing,Accessories,324,7265,2024-09-04,10,988.71,,,
2902,Evan Miller,smithbenjamin@estrada.com,Brazil,2022-12-01,5,Stuff Clothing,Accessories,324,7326,2024-01-06,6,20.81,,,
797,Anna Anderson,richard57@hotmail.com,Egypt,2022-11-09,5,Stuff Clothing,Accessories,324,7384,2024-09-22,4,683.69,,,
1559,Rachael Aguilar,gonzalezcatherine@gmail.com,Andorra,2020-08-10,5,Stuff Clothing,Accessories,324,7767,2024-06-19,2,543.21,,,
1984,Miss Nancy Hardin,stephanie48@crawford.biz,Macao,2020-03-23,5,Stuff Clothing,Accessories,324,9876,2024-08-04,5,229.8,,,
25,Justin Andersen,heidi88@yahoo.com,San Marino,2023-05-26,6,This Furniture,Books,164,197,2024-01-23,8,760.92,,,
31,Katrina Young,holdenkyle@horton.com,Dominica,2020-11-29,6,This Furniture,Books,164,708,2024-08-02,10,1448.02,,,
948,Steven Klein,ambermoore@hotmail.com,Niger,2022-04-03,6,This Furniture,Books,164,907,2024-10-25,3,12.4,,,
2587,Scott Kennedy,williamscarolyn@hotmail.com,Central African Republic,2022-11-25,6,This Furniture,Books,164,1604,2024-02-23,3,474.45,,,
2962,Gregory Mann,callahanconnie@gmail.com,Andorra,2022-01-02,6,This Furniture,Books,164,2105,2024-01-29,9,898.66,,,
1922,Tina Williams,melissaholmes@buchanan.org,United Arab Emirates,2022-07-19,6,This Furniture,Books,164,2397,2024-07-26,8,1250.59,,,
637,Angela Miller,adamfarrell@gonzalez-mckinney.net,Nigeria,2022-07-18,6,This Furniture,Books,164,2486,2024-10-07,2,1402.06,,,
2085,Charles Bowers,patriciamarsh@jones.biz,Malawi,2022-02-14,6,This Furniture,Books,164,2756,2024-02-08,8,919.34,,,
482,Robert Hill,gdaniels@carroll-johnston.org,Saint Lucia,2023-05-06,6,This Furniture,Books,164,2766,2024-09-07,9,282.18,,,
89,Evelyn Banks,theresa73@gmail.com,Ukraine,2023-09-09,6,This Furniture,Books,164,2775,2024-01-25,4,303.06,,,
566,Brandon Wilson DVM,gonzalezcrystal@hotmail.com,Sweden,2024-04-03,6,This Furniture,Books,164,3497,2024-06-17,4,323.46,,,
832,Crystal Hickman,jean68@yahoo.com,Guinea,2023-10-09,6,This Furniture,Books,164,3774,2024-09-01,5,350.74,,,
2670,Alexis Collins,samanthaclark@bryant.com,French Guiana,2022-07-09,6,This Furniture,Books,164,4074,2024-02-08,1,1321.58,,,
2162,David Juarez,jason46@grant.org,Togo,2023-04-23,6,This Furniture,Books,164,4360,2024-05-05,1,1252.61,,,
675,Michael Ochoa,christian75@gmail.com,Sudan,2020-06-01,6,This Furniture,Books,164,4530,2024-10-11,3,989.67,,,
178,Leslie Ibarra,amanda03@potts.com,Singapore,2021-03-21,6,This Furniture,Books,164,4655,2024-02-25,1,890.82,,,
2788,Justin Andrade,rodriguezruben@hotmail.com,Nauru,2021-06-04,6,This Furniture,Books,164,4883,2024-05-21,4,942.19,,,
1521,Daniel Hill,yangandrew@moore.com,Bolivia,2022-02-08,6,This Furniture,Books,164,5580,2024-02-15,6,1448.78,,,
1227,Jacob Benton,anthony18@williamson-brown.com,Venezuela,2023-01-20,6,This Furniture,Books,164,6667,2024-08-16,2,1122.83,,,
1942,James Collins,ifowler@hotmail.com,Mexico,2021-04-03,6,This Furniture,Books,164,7989,2024-08-01,3,198.05,,,
481,Dylan Johnson,slewis@brewer.net,Libyan Arab Jamahiriya,2024-03-29,6,This Furniture,Books,164,9541,2024-02-28,6,478.5,,,
2272,Lisa Hernandez,dominguezbrandon@gmail.com,Mexico,2024-06-15,6,This Furniture,Books,164,9801,2024-09-19,2,42.16,,,
954,Joseph Maddox,cookdebra@knapp-williams.com,Lithuania,2022-07-27,6,This Furniture,Books,164,9818,2024-08-05,10,1306.1,,,
557,Eric Galloway,mbauer@patterson.biz,Slovenia,2024-09-05,7,Level Accessories,Books,377,126,2024-10-09,9,181.9,,,
773,Cindy Moore,marissa32@brown-torres.com,Cape Verde,2024-08-12,7,Level Accessories,Books,377,1046,2024-08-06,7,497.97,,,
2785,Christopher Santos Jr.,hhaynes@yahoo.com,Greece,2021-10-20,7,Level Accessories,Books,377,1345,2024-08-10,7,506.4,,,
215,James Payne,jessicaestrada@hotmail.com,Serbia,2021-10-02,7,Level Accessories,Books,377,1528,2024-01-17,2,1366.0,,,
623,Michael Newton,pgriffith@hotmail.com,Saint Martin,2022-02-19,7,Level Accessories,Books,377,2693,2024-04-02,5,73.77,,,
1312,Stephanie Perez,vlopez@freeman-adams.com,Trinidad and Tobago,2020-04-30,7,Level Accessories,Books,377,3501,2024-07-21,9,1064.91,,,
1948,Dennis Rasmussen,hbrown@yahoo.com,Guernsey,2023-08-21,7,Level Accessories,Books,377,4814,2024-10-12,5,1441.5,,,
361,Jordan Richard,ukelly@gmail.com,Guam,2022-10-19,7,Level Accessories,Books,377,5836,2024-07-04,7,793.1,,,
1448,Stephanie Smith,charles40@hotmail.com,Andorra,2020-12-22,7,Level Accessories,Books,377,6672,2024-02-20,2,384.43,,,
2528,Heather Bright,vpierce@gmail.com,Northern Mariana Islands,2023-04-04,7,Level Accessories,Books,377,7661,2024-02-13,10,880.77,,,
123,Charles Parrish,youngchristopher@hotmail.com,Ecuador,2023-11-01,7,Level Accessories,Books,377,8661,2024-10-14,6,402.6,,,
1997,Robert Schneider,gregory39@hotmail.com,French Guiana,2023-02-20,8,Upon Accessories,Books,350,1064,2024-07-23,3,111.9,,,
2669,Cheryl Lopez,ethanlamb@cox.com,Monaco,2021-06-03,8,Upon Accessories,Books,350,1220,2024-07-13,1,529.72,,,
2500,Lance Stevenson,ruizsteven@hotmail.com,Albania,2023-04-02,8,Upon Accessories,Books,350,1734,2024-06-15,3,184.65,,,
2583,Michael Browning,lyonsjeffery@roman.com,Somalia,2022-10-13,8,Upon Accessories,Books,350,1797,2024-06-20,6,992.81,,,
771,Joel Hale,kevin12@hotmail.com,Saint Lucia,2020-11-21,8,Upon Accessories,Books,350,1939,2024-01-28,9,426.95,,,
2596,Jacqueline Bender,staciemunoz@johnson.com,Saint Pierre and Miquelon,2023-05-16,8,Upon Accessories,Books,350,3196,2024-08-22,3,1283.79,,,
53,Jacob Morgan,morenorobert@yahoo.com,Tokelau,2020-07-03,8,Upon Accessories,Books,350,3515,2024-01-18,6,934.44,,,
2767,Daniel Wilson,terrigates@yahoo.com,Austria,2020-09-12,8,Upon Accessories,Books,350,3742,2024-09-05,6,1180.41,,,
2471,Ashley Long,camachonicole@yahoo.com,Bulgaria,2024-03-20,8,Upon Accessories,Books,350,6975,2024-09-04,8,959.52,,,
518,Matthew Mann DDS,douglasjohnson@gmail.com,Saint Kitts and Nevis,2022-01-25,8,Upon Accessories,Books,350,7224,2024-09-26,2,1163.59,,,
1524,Phillip Horton,amanda31@gmail.com,Mayotte,2024-06-28,8,Upon Accessories,Books,350,7843,2024-03-03,9,409.2,,,
215,James Payne,jessicaestrada@hotmail.com,Serbia,2021-10-02,8,Upon Accessories,Books,350,8522,2024-10-04,2,1437.61,,,
588,Bradley Washington,amber97@burns-fowler.biz,Lesotho,2020-04-27,8,Upon Accessories,Books,350,8931,2024-06-25,8,896.54,,,
2209,Ryan Welch,melissa13@walsh.org,Yemen,2023-09-11,8,Upon Accessories,Books,350,9460,2024-01-09,8,506.6,,,
1784,Jordan Wolfe,sryan@king.com,Guernsey,2023-03-20,8,Upon Accessories,Books,350,9627,2024-06-12,7,659.86,,,
655,John Miller,hendersonteresa@williams.com,Algeria,2020-11-22,8,Upon Accessories,Books,350,9874,2024-09-11,6,703.91,,,
1076,Julia Salas,bmiller@hess.com,Norway,2021-10-22,8,Upon Accessories,Books,350,9968,2024-06-21,9,921.17,,,
1959,Maria Johnson,whayes@lopez.org,Netherlands,2023-10-30,9,Coach Electronics,Books,386,58,2024-07-18,3,801.03,,,
2666,Kathryn White,vanessaramos@martinez-mckenzie.net,Papua New Guinea,2024-10-14,9,Coach Electronics,Books,386,2005,2024-05-22,2,1493.21,,,
2422,James Tucker,bradley82@hotmail.com,Cote d'Ivoire,2020-08-25,9,Coach Electronics,Books,386,3651,2024-03-08,3,878.5,,,
2707,Emily Foster,aaron02@hotmail.com,Armenia,2023-10-01,9,Coach Electronics,Books,386,3829,2024-05-03,5,508.43,,,
496,Taylor Doyle,ystone@bates.com,Benin,2022-12-03,9,Coach Electronics,Books,386,4621,2024-03-16,6,398.41,,,
1443,Terry Fox,glennhunter@sims-collins.com,Bouvet Island (Bouvetoya),2020-10-16,9,Coach Electronics,Books,386,5481,2024-01-20,7,528.89,,,
1924,Scott Chang,luis98@freeman-greene.com,Mali,2024-10-05,9,Coach Electronics,Books,386,5543,2024-05-31,6,534.14,,,
2161,Douglas Brown,adamfox@yahoo.com,Cape Verde,2024-03-06,9,Coach Electronics,Books,386,5567,2024-03-10,1,1328.29,,,
2138,Robert Williams,bbenton@hotmail.com,Indonesia,2021-08-28,9,Coach Electronics,Books,386,5632,2024-08-26,2,1174.39,,,
2597,Thomas Snyder,vthomas@yahoo.com,Mexico,2020-08-09,9,Coach Electronics,Books,386,6204,2024-09-19,8,94.32,,,
2730,Pamela Gardner,danielleonard@smith.info,Kyrgyz Republic,2021-01-01,9,Coach Electronics,Books,386,6520,2024-01-16,7,1212.29,,,
2325,Jason Garcia,jillianwallace@gmail.com,Maldives,2022-07-08,9,Coach Electronics,Books,386,6540,2024-08-12,3,1492.71,,,
2838,Gail Garner,greenshawn@hotmail.com,South Africa,2020-12-05,9,Coach Electronics,Books,386,7760,2024-10-06,2,289.5,,,
502,Pamela Oconnor,jenniferrobinson@shepard.com,Mozambique,2022-10-28,9,Coach Electronics,Books,386,7885,2024-05-23,6,103.23,,,
1626,Robin Raymond,osmith@hotmail.com,Macao,2020-05-10,9,Coach Electronics,Books,386,8766,2024-10-06,9,1255.97,,,
1668,Sheila Schroeder,zjones@gmail.com,Svalbard & Jan Mayen Islands,2020-06-21,9,Coach Electronics,Books,386,9139,2024-02-21,1,351.5,,,
1812,Joan Reynolds,simpsonkaren@thomas-coleman.info,Isle of Man,2021-02-19,9,Coach Electronics,Books,386,9529,2024-10-22,4,458.57,,,
1610,Shawn Allen,rduke@gmail.com,Costa Rica,2022-07-24,9,Coach Electronics,Books,386,9573,2024-07-04,8,1230.87,,,
1208,Lindsey Kim,charles75@chambers.com,Dominican Republic,2020-09-02,9,Coach Electronics,Books,386,9799,2024-03-16,6,433.83,,,
76,Theresa Wilson,jay33@gmail.com,Sierra Leone,2022-05-15,10,Avoid Furniture,Books,235,943,2024-07-27,8,653.19,,,
254,Rebecca White,yyoung@harrison.com,United Arab Emirates,2022-02-27,10,Avoid Furniture,Books,235,1092,2024-09-21,5,917.54,,,
1313,Tony Montgomery,wendygarner@yahoo.com,United States Virgin Islands,2020-09-17,10,Avoid Furniture,Books,235,1271,2024-05-13,2,404.0,,,
2445,Darrell Shea,ashleymills@hotmail.com,Bouvet Island (Bouvetoya),2021-03-04,10,Avoid Furniture,Books,235,1655,2024-02-16,6,241.8,,,
818,Tanya Franklin,ahuerta@gmail.com,Hong Kong,2022-01-10,10,Avoid Furniture,Books,235,2568,2024-10-11,1,91.14,,,
2751,Suzanne Henry,gutierrezgregory@evans-lawrence.com,Saint Martin,2022-04-01,10,Avoid Furniture,Books,235,3040,2024-02-19,6,950.65,,,
2683,Donald Sexton,qwallace@yahoo.com,Palestinian Territory,2020-11-03,10,Avoid Furniture,Books,235,3492,2024-01-25,7,456.57,,,
1131,Kristen Harris,sharper@white.info,Timor-Leste,2024-07-17,10,Avoid Furniture,Books,235,3797,2024-02-17,4,52.98,,,
1697,Laura Galloway,jbailey@waller.biz,Burkina Faso,2020-08-22,10,Avoid Furniture,Books,235,4339,2024-06-24,5,612.08,,,
327,Renee Rangel,robertwoodward@kim.com,Mauritania,2020-06-22,10,Avoid Furniture,Books,235,4498,2024-07-17,3,281.98,,,
403,Dr. Morgan Salazar,john91@yahoo.com,Bahrain,2020-09-29,10,Avoid Furniture,Books,235,5025,2024-07-07,3,266.57,,,
2484,Kelsey Nielsen,dgomez@martinez-scott.biz,Angola,2021-11-25,10,Avoid Furniture,Books,235,5074,2024-01-11,1,46.84,,,
181,Kelly Kelly,brianrice@gmail.com,Albania,2022-12-23,10,Avoid Furniture,Books,235,5472,2024-03-04,2,992.47,,,
2784,Matthew Johnson,edwardsjennifer@yahoo.com,Austria,2021-06-27,10,Avoid Furniture,Books,235,6124,2024-01-07,6,97.34,,,
104,Justin Meyers,patriciajimenez@shaw.com,Belgium,2022-03-02,10,Avoid Furniture,Books,235,6265,2024-10-08,9,306.36,,,
1490,Holly Ward,gscott@gmail.com,Venezuela,2020-01-06,10,Avoid Furniture,Books,235,6530,2024-02-13,10,1063.62,,,
1430,Jamie Christensen,brianhill@hubbard-munoz.info,Niue,2022-08-07,10,Avoid Furniture,Books,235,6645,2024-03-20,7,750.28,,,
1949,Alfred White,amywhite@anderson.biz,Saint Vincent and the Grenadines,2022-02-05,10,Avoid Furniture,Books,235,6726,2024-02-01,8,746.35,,,
759,Kari Sanders DVM,qgomez@gmail.com,Norway,2023-10-16,10,Avoid Furniture,Books,235,8138,2024-04-15,7,941.24,,,
677,Sheila Patterson,joseph59@gmail.com,Monaco,2022-03-27,10,Avoid Furniture,Books,235,8317,2024-04-07,3,445.3,,,
1922,Tina Williams,melissaholmes@buchanan.org,United Arab Emirates,2022-07-19,10,Avoid Furniture,Books,235,8481,2024-09-23,5,615.79,,,
17,Eric Moore,daniel89@gmail.com,Turkmenistan,2020-06-24,10,Avoid Furniture,Books,235,8663,2024-09-15,3,765.58,,,
2690,Jason Jensen,heather30@gmail.com,Burundi,2020-11-17,10,Avoid Furniture,Books,235,9947,2024-04-08,2,70.91,,,
117,Cassandra Jones,richardramirez@walton.com,Pitcairn Islands,2024-02-04,11,Education Accessories,Electronics,452,91,2024-08-31,9,1239.22,,,
1883,Andrew Morrow,christian39@young.net,Northern Mariana Islands,2024-07-15,11,Education Accessories,Electronics,452,128,2024-01-31,2,594.32,,,
2984,Kayla Owen,teresakennedy@yahoo.com,Kyrgyz Republic,2022-11-29,11,Education Accessories,Electronics,452,365,2024-04-07,10,849.16,,,
